Daytime/evening attendance	,Previous qualification (grade),Admission grade,Displaced,Debtor,Tuition fees up to date,Scholarship holder,Age at enrollment,Gender_1,Application mode_2,Application mode_5,Application mode_7,Application mode_10,Application mode_15,Application mode_16,Application mode_17,Application mode_18,Application mode_26,Application mode_27,Application mode_39,Application mode_42,Application mode_43,Application mode_44,Application mode_51,Application mode_53,Application mode_57,Marital status_2,Marital status_3,Marital status_4,Marital status_5,Marital status_6,Total units enrolled,Total units approved,Total evaluations,Total grade,Target
1,0.28421052631578947,0.33999999999999986,1,0,1,0,0.05660377358490565,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0
1,0.6842105263157894,0.5,1,0,0,0,0.037735849056603765,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2608695652173913,0.27906976744186046,0.16666666666666666,0.7565956700850205,2
1,0.28421052631578947,0.3136842105263158,1,0,0,0,0.037735849056603765,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2608695652173913,0.0,0.0,0.0,0
1,0.28421052631578947,0.2589473684210526,1,0,1,0,0.05660377358490565,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2608695652173913,0.2558139534883721,0.25,0.706329589421885,2
0,0.05263157894736836,0.4894736842105263,0,0,1,0,0.5283018867924527,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.2608695652173913,0.2558139534883721,0.20833333333333331,0.6927863967043563,2
0,0.4010526315789473,0.20842105263157884,0,1,1,0,0.6226415094339623,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.21739130434782608,0.23255813953488372,0.375,0.6387438488411404,2
1,0.49473684210526314,0.351578947368421,1,0,1,1,0.018867924528301883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32608695652173914,0.3488372093023256,0.2361111111111111,0.7560031554036288,2
1,0.2526315789473683,0.19052631578947365,1,0,0,0,0.09433962264150941,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21739130434782608,0.0,0.1388888888888889,0.0,0
1,0.4421052631578948,0.3610526315789475,0,0,1,1,0.07547169811320753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2608695652173913,0.27906976744186046,0.20833333333333331,0.7661996168438451,2
1,0.4526315789473685,0.2947368421052632,1,1,0,0,0.018867924528301883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2608695652173913,0.16279069767441862,0.3194444444444444,0.6809361030765185,0
1,0.463157894736842,0.37473684210526303,1,0,1,0,0.018867924528301883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2608695652173913,0.2558139534883721,0.18055555555555555,0.7256025944429836,2
1,0.43157894736842106,0.25578947368421057,1,0,1,1,0.018867924528301883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34782608695652173,0.32558139534883723,0.2222222222222222,0.7227376882911987,2
1,0.3999999999999999,0.3705263157894736,1,0,1,0,0.037735849056603765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2608695652173913,0.0,0.08333333333333333,0.0,0
1,0.1578947368421053,0.1768421052631579,1,0,1,1,0.07547169811320753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.2608695652173913,0.2558139534883721,0.20833333333333331,0.5899102212538972,2
1,0.5684210526315789,0.443157894736842,1,0,1,1,0.018867924528301883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21739130434782608,0.20930232558139533,0.16666666666666666,0.6905074940836182,2
1,0.33684210526315783,0.2705263157894737,1,0,1,0,0.05660377358490565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2608695652173913,0.11627906976744186,0.18055555555555555,0.3609781751249014,0
1,0.4421052631578948,0.4463157894736842,1,0,1,0,0.018867924528301883,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2608695652173913,0.06976744186046512,0.3333333333333333,0.6289771233236918,1
1,0.42105263157894735,0.33999999999999986,1,0,1,0,0.018867924528301883,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32608695652173914,0.3488372093023256,0.2222222222222222,0.7616434393899553,2
1,0.4421052631578948,0.4347368421052633,1,0,1,0,0.05660377358490565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21739130434782608,0.18604651162790697,0.2222222222222222,0.6768340783591901,2
1,0.4736842105263157,0.31157894736842096,1,0,1,0,0.018867924528301883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30434782608695654,0.27906976744186046,0.20833333333333331,0.6882285914628801,1
1,0.28421052631578947,0.26631578947368406,0,0,1,1,0.07547169811320753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2
1,0.33684210526315783,0.28210526315789464,1,0,1,0,0.05660377358490565,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32608695652173914,0.3488372093023256,0.3194444444444444,0.6252169339994741,1
1,0.49473684210526314,0.32105263157894726,1,0,1,0,0.018867924528301883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34782608695652173,0.32558139534883723,0.3333333333333333,0.7032042372563014,2
1,0.3157894736842104,0.20947368421052626,1,0,1,1,0.037735849056603765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2608695652173913,0.27906976744186046,0.20833333333333331,0.7017392284286841,2
1,0.3263157894736841,0.3042105263157895,0,0,1,0,0.037735849056603765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32608695652173914,0.3023255813953488,0.2361111111111111,0.7496026946145273,2
1,0.5894736842105264,0.6526315789473685,1,1,1,1,0.018867924528301883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2608695652173913,0.20930232558139533,0.2777777777777778,0.6180383907441493,1
1,0.21052631578947367,0.22526315789473683,1,0,1,0,0.07547169811320753,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2608695652173913,0.27906976744186046,0.25,0.6743923969798279,2
1,0.4526315789473685,0.3789473684210527,1,0,1,0,0.018867924528301883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21739130434782608,0.20930232558139533,0.2222222222222222,0.7019020071873082,1
1,0.42105263157894735,0.28526315789473666,1,0,1,0,0.05660377358490565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21739130434782608,0.23255813953488372,0.16666666666666666,0.6654395652555001,2
1,0.33684210526315783,0.2505263157894737,1,0,1,0,0.037735849056603765,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30434782608695654,0.27906976744186046,0.2222222222222222,0.7287930581120168,1
1,0.5789473684210527,0.5789473684210527,0,0,1,0,0.07547169811320753,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.2608695652173913,0.23255813953488372,0.4444444444444444,0.613350362495774,1
1,0.3157894736842104,0.368421052631579,1,0,1,0,0.05660377358490565,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.2608695652173913,0.23255813953488372,0.2222222222222222,0.7173985450083267,2
1,0.5052631578947369,0.4610526315789474,0,0,0,0,0.018867924528301883,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21739130434782608,0.11627906976744186,0.2361111111111111,0.6791129809799282,1
0,0.4526315789473685,0.4157894736842105,1,0,1,0,0.037735849056603765,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2608695652173913,0.27906976744186046,0.19444444444444442,0.7395039004294854,2
0,0.368421052631579,0.38315789473684214,0,0,1,0,0.32075471698113206,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21739130434782608,0.23255813953488372,0.20833333333333331,0.706329589421885,2
1,0.368421052631579,0.07894736842105265,0,1,0,0,0.3773584905660377,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.30434782608695654,0.023255813953488372,0.19444444444444442,0.2734683144885617,0
1,0.4010526315789473,0.35578947368421066,1,0,1,0,0.490566037735849,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.21739130434782608,0.0,0.0,0.0,0
