Daytime/evening attendance	,Previous qualification (grade),Admission grade,Displaced,Debtor,Tuition fees up to date,Scholarship holder,Age at enrollment,Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Gender_1,Application mode_2,Application mode_5,Application mode_7,Application mode_10,Application mode_15,Application mode_16,Application mode_17,Application mode_18,Application mode_26,Application mode_27,Application mode_39,Application mode_42,Application mode_43,Application mode_44,Application mode_51,Application mode_53,Application mode_57,Marital status_2,Marital status_3,Marital status_4,Marital status_5,Marital status_6,Target
1,0.122,0.1273,1,0,1,0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.16,0.1425,1,0,0,0,0.19,0.06,0.06,0.06,0.14,0.06,0.06,0.06,0.13666666666666666,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,0.122,0.1248,1,0,0,0,0.19,0.06,0.0,0.0,0.0,0.06,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.122,0.1196,1,0,1,0,0.2,0.06,0.08,0.06,0.13428571428571429,0.06,0.1,0.05,0.124,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0.1,0.1415,0,0,1,0,0.45,0.06,0.09,0.05,0.12333333333333334,0.06,0.06,0.06,0.13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2
0,0.1331,0.1148,0,1,1,0,0.5,0.05,0.1,0.05,0.11857142857142858,0.05,0.17,0.05,0.115,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2
1,0.142,0.12840000000000001,1,0,1,1,0.18,0.07,0.09,0.07,0.133,0.08,0.08,0.08,0.14345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,0.119,0.11309999999999999,1,0,0,0,0.22,0.05,0.05,0.0,0.0,0.05,0.05,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.137,0.1293,0,0,1,1,0.21,0.06,0.08,0.06,0.13875,0.06,0.07,0.06,0.14142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,0.138,0.123,1,1,0,0,0.18,0.06,0.09,0.05,0.114,0.06,0.14,0.02,0.135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
